               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.033829,           0.0082993,           0.0011336,             0.99998,                   1,               0.995,             0.81715,            0.019991,           0.0027675,          0.00091371,            0.008317,            0.008317,            0.008317
                  53,            0.031843,           0.0080975,           0.0011931,                   1,             0.99993,               0.995,             0.80052,            0.019343,           0.0029521,          0.00097964,            0.008284,            0.008284,            0.008284
                  54,            0.030963,           0.0088173,           0.0011656,              0.9999,                   1,               0.995,             0.83883,            0.020253,           0.0028624,          0.00097202,            0.008251,            0.008251,            0.008251
                  55,            0.029975,           0.0083768,           0.0010748,                   1,             0.99923,               0.995,             0.75989,            0.022181,           0.0028191,          0.00094126,            0.008218,            0.008218,            0.008218
                  56,             0.02772,           0.0082034,           0.0010459,             0.99995,                   1,               0.995,             0.73345,            0.021847,            0.002678,          0.00083444,            0.008185,            0.008185,            0.008185
                  57,            0.031023,           0.0074708,           0.0010379,             0.99986,                   1,               0.995,             0.70956,            0.024906,           0.0026939,          0.00081805,            0.008152,            0.008152,            0.008152
                  58,            0.029179,           0.0081097,          0.00099949,                   1,             0.99997,               0.995,             0.76604,            0.019253,           0.0028315,          0.00086468,            0.008119,            0.008119,            0.008119
                  59,            0.027472,           0.0073545,          0.00098407,             0.99992,                   1,               0.995,              0.7736,            0.021379,           0.0025759,          0.00076916,            0.008086,            0.008086,            0.008086
                  60,            0.027828,           0.0072922,          0.00096562,             0.99998,                   1,               0.995,             0.80507,            0.020876,           0.0026834,          0.00078404,            0.008053,            0.008053,            0.008053
                  61,            0.027651,           0.0074272,            0.000939,             0.99995,                   1,               0.995,             0.80411,            0.019336,           0.0023881,          0.00073308,             0.00802,             0.00802,             0.00802
                  62,            0.026864,           0.0068598,          0.00089272,                   1,             0.99994,               0.995,             0.85719,            0.017873,           0.0024739,          0.00081587,            0.007987,            0.007987,            0.007987
                  63,            0.025556,           0.0073204,          0.00089601,                   1,             0.99994,               0.995,             0.78604,            0.015416,           0.0023664,          0.00077424,            0.007954,            0.007954,            0.007954
                  64,            0.026908,           0.0075887,          0.00084246,             0.99998,                   1,               0.995,              0.8084,            0.016771,           0.0025763,          0.00075554,            0.007921,            0.007921,            0.007921
                  65,            0.027417,           0.0073271,          0.00086339,             0.99996,                   1,               0.995,             0.77685,            0.022013,           0.0025346,          0.00074017,            0.007888,            0.007888,            0.007888
                  66,            0.028932,           0.0074644,          0.00091945,                   1,             0.99993,               0.995,             0.80119,            0.023007,           0.0025286,          0.00073576,            0.007855,            0.007855,            0.007855
                  67,            0.026874,           0.0070553,          0.00089786,                   1,                   1,               0.995,             0.78484,            0.019892,           0.0023927,           0.0006532,            0.007822,            0.007822,            0.007822
                  68,            0.028469,           0.0073574,          0.00089054,             0.99996,                   1,               0.995,               0.776,            0.015981,           0.0023896,          0.00071046,            0.007789,            0.007789,            0.007789
                  69,             0.02815,           0.0071859,          0.00087689,                   1,             0.99997,               0.995,             0.82869,            0.017591,           0.0023445,          0.00073269,            0.007756,            0.007756,            0.007756
                  70,            0.024399,           0.0070776,          0.00085312,                   1,             0.99994,               0.995,             0.85243,            0.016285,            0.002408,          0.00067111,            0.007723,            0.007723,            0.007723
                  71,            0.024799,           0.0070282,          0.00081984,             0.99996,                   1,               0.995,             0.83679,             0.01537,           0.0023943,          0.00067479,             0.00769,             0.00769,             0.00769
                  72,            0.023686,           0.0064491,          0.00078105,                   1,             0.99992,               0.995,             0.83001,            0.015966,             0.00228,          0.00065663,            0.007657,            0.007657,            0.007657
                  73,            0.022374,           0.0071237,          0.00076724,                   1,             0.99997,               0.995,             0.85562,            0.014074,            0.002142,          0.00063068,            0.007624,            0.007624,            0.007624
                  74,            0.023524,           0.0067376,          0.00071928,             0.99999,                   1,               0.995,             0.86379,            0.014381,           0.0022842,          0.00062478,            0.007591,            0.007591,            0.007591
                  75,            0.022784,           0.0069799,          0.00071912,             0.99998,                   1,               0.995,             0.83549,            0.015863,           0.0022557,          0.00058636,            0.007558,            0.007558,            0.007558
                  76,            0.021732,           0.0068452,          0.00072746,                   1,             0.99994,               0.995,             0.81829,            0.017647,           0.0023285,          0.00057885,            0.007525,            0.007525,            0.007525
                  77,             0.02287,           0.0065061,          0.00066022,             0.99998,                   1,               0.995,             0.86913,            0.014954,           0.0024224,          0.00058361,            0.007492,            0.007492,            0.007492
                  78,            0.022451,           0.0066083,          0.00072002,             0.99988,                   1,               0.995,             0.86819,            0.014831,           0.0023044,          0.00060287,            0.007459,            0.007459,            0.007459
                  79,            0.022223,           0.0066122,          0.00070825,             0.99997,                   1,               0.995,             0.87054,            0.014917,            0.002221,          0.00058703,            0.007426,            0.007426,            0.007426
                  80,            0.022808,           0.0066597,          0.00070547,             0.99996,                   1,               0.995,              0.8826,             0.01334,           0.0022904,          0.00060829,            0.007393,            0.007393,            0.007393
                  81,            0.021858,           0.0068007,          0.00067362,             0.99993,                   1,               0.995,             0.89669,            0.014059,           0.0023601,           0.0005692,             0.00736,             0.00736,             0.00736
                  82,             0.02119,           0.0067513,          0.00066332,             0.99999,                   1,               0.995,             0.87458,            0.012561,           0.0021922,          0.00056262,            0.007327,            0.007327,            0.007327
                  83,            0.021881,           0.0064235,          0.00067943,             0.99993,                   1,               0.995,             0.82837,            0.015164,           0.0022085,          0.00055891,            0.007294,            0.007294,            0.007294
                  84,            0.022711,           0.0069065,          0.00066521,                   1,             0.99984,               0.995,             0.80673,            0.017483,           0.0022769,          0.00058121,            0.007261,            0.007261,            0.007261
                  85,            0.025073,           0.0066254,          0.00069244,             0.99992,                   1,               0.995,              0.9012,            0.013907,           0.0024025,          0.00062614,            0.007228,            0.007228,            0.007228
                  86,            0.020734,           0.0068207,          0.00067814,             0.99992,                   1,               0.995,             0.87592,            0.014932,           0.0022608,          0.00054936,            0.007195,            0.007195,            0.007195
                  87,            0.021443,           0.0063984,          0.00062364,             0.99994,                   1,               0.995,             0.87052,            0.013901,            0.002031,          0.00054461,            0.007162,            0.007162,            0.007162
                  88,            0.020242,           0.0062572,          0.00066289,             0.99994,                   1,               0.995,             0.87482,            0.013117,           0.0021583,          0.00051929,            0.007129,            0.007129,            0.007129
                  89,            0.021182,           0.0065308,          0.00058987,             0.99994,                   1,               0.995,             0.84344,            0.013976,           0.0021027,          0.00051268,            0.007096,            0.007096,            0.007096
                  90,            0.020703,           0.0058828,          0.00062678,             0.99994,                   1,               0.995,             0.84507,            0.014127,           0.0021025,          0.00052591,            0.007063,            0.007063,            0.007063
                  91,            0.020998,           0.0062309,            0.000611,             0.99995,                   1,               0.995,              0.8698,            0.013924,           0.0021021,          0.00050515,             0.00703,             0.00703,             0.00703
                  92,            0.022693,           0.0067044,          0.00063952,             0.99999,                   1,               0.995,             0.85053,            0.018529,            0.002272,          0.00053176,            0.006997,            0.006997,            0.006997
                  93,            0.022269,           0.0062271,          0.00066536,             0.99993,                   1,               0.995,             0.87847,            0.014526,           0.0021857,          0.00055746,            0.006964,            0.006964,            0.006964
                  94,            0.022426,           0.0063177,          0.00062277,             0.99995,                   1,               0.995,              0.8865,             0.01408,           0.0021324,          0.00052835,            0.006931,            0.006931,            0.006931
                  95,            0.021421,           0.0062509,          0.00061696,                   1,             0.99995,               0.995,             0.91508,            0.012773,           0.0020965,          0.00053644,            0.006898,            0.006898,            0.006898
                  96,            0.020296,           0.0063589,          0.00061323,             0.99996,                   1,               0.995,             0.85067,            0.017021,           0.0021335,          0.00051573,            0.006865,            0.006865,            0.006865
                  97,            0.020744,           0.0061243,          0.00061509,             0.99994,                   1,               0.995,             0.88532,            0.012962,           0.0019537,          0.00050614,            0.006832,            0.006832,            0.006832
                  98,            0.019554,            0.006504,           0.0006038,                   1,             0.99997,               0.995,             0.90614,            0.013595,           0.0019698,          0.00050275,            0.006799,            0.006799,            0.006799
                  99,             0.01956,           0.0062091,           0.0005554,             0.99994,                   1,               0.995,             0.88305,            0.012883,            0.002285,          0.00048575,            0.006766,            0.006766,            0.006766
                 100,            0.019043,           0.0057753,          0.00055865,             0.99996,                   1,               0.995,             0.87655,            0.013758,           0.0020906,          0.00046594,            0.006733,            0.006733,            0.006733
                 101,            0.019625,           0.0058714,          0.00052906,             0.99999,                   1,               0.995,             0.86707,            0.013759,           0.0020728,          0.00045308,              0.0067,              0.0067,              0.0067
                 102,            0.019907,           0.0064589,          0.00053619,             0.99994,                   1,               0.995,             0.86678,            0.014859,           0.0022941,          0.00048458,            0.006667,            0.006667,            0.006667
                 103,            0.020097,           0.0065209,          0.00056534,             0.99995,                   1,               0.995,             0.86944,            0.013318,           0.0022962,          0.00050115,            0.006634,            0.006634,            0.006634
                 104,            0.019006,           0.0061499,          0.00057479,             0.99996,                   1,               0.995,             0.88557,            0.012413,           0.0021447,          0.00049729,            0.006601,            0.006601,            0.006601
                 105,            0.020095,           0.0060245,          0.00056419,             0.99999,                   1,               0.995,             0.91636,             0.01196,           0.0021302,          0.00049667,            0.006568,            0.006568,            0.006568
                 106,            0.021112,           0.0059314,          0.00059998,             0.99998,                   1,               0.995,             0.90277,            0.011876,           0.0021085,          0.00050845,            0.006535,            0.006535,            0.006535
                 107,            0.017706,           0.0059941,          0.00055656,             0.99996,                   1,               0.995,              0.9139,            0.010254,           0.0019758,          0.00047365,            0.006502,            0.006502,            0.006502
                 108,            0.016491,           0.0057705,           0.0005047,             0.99998,                   1,               0.995,             0.86047,            0.013815,           0.0019632,          0.00045104,            0.006469,            0.006469,            0.006469
                 109,            0.017577,           0.0057448,          0.00047858,                   1,             0.99998,               0.995,             0.91808,            0.010573,            0.001727,          0.00042316,            0.006436,            0.006436,            0.006436
                 110,            0.017974,           0.0059981,           0.0005073,                   1,                   1,               0.995,             0.93174,            0.009683,           0.0017661,          0.00043038,            0.006403,            0.006403,            0.006403
                 111,            0.017757,            0.005938,          0.00050307,                   1,                   1,               0.995,             0.89344,            0.012491,           0.0018001,          0.00041331,             0.00637,             0.00637,             0.00637
                 112,            0.016936,           0.0055994,          0.00050291,             0.99995,                   1,               0.995,             0.90652,            0.010772,           0.0017889,          0.00041314,            0.006337,            0.006337,            0.006337
                 113,            0.017842,           0.0060149,          0.00049297,             0.99994,                   1,               0.995,             0.87147,            0.013177,           0.0018828,          0.00042729,            0.006304,            0.006304,            0.006304
                 114,            0.021513,           0.0061269,          0.00056227,             0.99996,                   1,               0.995,             0.85835,             0.01516,           0.0021371,          0.00048129,            0.006271,            0.006271,            0.006271
                 115,            0.017441,           0.0057449,          0.00055779,             0.99994,                   1,               0.995,             0.89474,            0.010819,           0.0019779,          0.00045816,            0.006238,            0.006238,            0.006238
                 116,            0.019144,           0.0062133,          0.00049816,                   1,             0.99997,               0.995,             0.91432,            0.012071,           0.0019398,          0.00044402,            0.006205,            0.006205,            0.006205
                 117,            0.017855,           0.0059063,           0.0005188,             0.99997,                   1,               0.995,             0.86465,            0.013492,           0.0019972,          0.00044099,            0.006172,            0.006172,            0.006172
                 118,            0.018488,           0.0060197,          0.00048796,                   1,             0.99996,               0.995,             0.89573,            0.010248,           0.0019564,           0.0004262,            0.006139,            0.006139,            0.006139
                 119,            0.018798,           0.0061222,          0.00049073,             0.99993,                   1,               0.995,             0.90617,              0.0122,           0.0018921,          0.00042244,            0.006106,            0.006106,            0.006106
                 120,            0.017234,           0.0056909,          0.00050355,                   1,                   1,               0.995,              0.8892,            0.012348,           0.0018488,          0.00041708,            0.006073,            0.006073,            0.006073
                 121,            0.016289,           0.0051966,          0.00045826,             0.99996,                   1,               0.995,             0.89433,            0.012108,           0.0018878,          0.00040784,             0.00604,             0.00604,             0.00604
                 122,            0.017677,           0.0058014,          0.00047005,                   1,             0.99994,               0.995,             0.91567,            0.010517,           0.0017558,          0.00040477,            0.006007,            0.006007,            0.006007
                 123,            0.016852,           0.0056062,          0.00046794,                   1,             0.99995,               0.995,             0.90111,            0.014104,            0.001947,           0.0004002,            0.005974,            0.005974,            0.005974
                 124,               0.016,           0.0054176,          0.00045216,             0.99998,                   1,               0.995,             0.86692,            0.013747,           0.0019775,          0.00038767,            0.005941,            0.005941,            0.005941
                 125,            0.017496,           0.0060365,           0.0004445,             0.99998,                   1,               0.995,             0.88255,            0.011127,           0.0019137,          0.00039528,            0.005908,            0.005908,            0.005908
                 126,            0.016183,           0.0057329,          0.00044868,             0.99998,                   1,               0.995,             0.88747,            0.011118,           0.0017831,          0.00037989,            0.005875,            0.005875,            0.005875
                 127,            0.018107,           0.0055954,          0.00045712,             0.99997,                   1,               0.995,             0.90063,            0.012682,           0.0018621,          0.00039726,            0.005842,            0.005842,            0.005842
                 128,            0.017219,           0.0056539,          0.00048204,             0.99995,                   1,               0.995,             0.92337,            0.012025,           0.0017999,          0.00039194,            0.005809,            0.005809,            0.005809
                 129,            0.017314,           0.0058822,          0.00045729,             0.99997,                   1,               0.995,             0.89687,            0.011119,            0.001762,          0.00037451,            0.005776,            0.005776,            0.005776
                 130,             0.01751,           0.0052462,          0.00044549,             0.99999,                   1,               0.995,             0.87432,            0.012042,           0.0017813,           0.0003816,            0.005743,            0.005743,            0.005743
                 131,            0.016829,           0.0055103,           0.0004653,                   1,             0.99998,               0.995,             0.92426,           0.0094332,           0.0017374,          0.00037347,             0.00571,             0.00571,             0.00571
                 132,            0.016028,           0.0053526,          0.00043678,             0.99993,                   1,               0.995,             0.90428,            0.011309,           0.0018425,          0.00036501,            0.005677,            0.005677,            0.005677
                 133,            0.016556,           0.0055215,          0.00043166,             0.99997,                   1,               0.995,             0.91687,            0.012353,           0.0019145,          0.00036641,            0.005644,            0.005644,            0.005644
                 134,            0.018775,           0.0057549,          0.00045437,             0.99997,                   1,               0.995,             0.91913,            0.011007,            0.001752,          0.00037924,            0.005611,            0.005611,            0.005611
                 135,            0.017262,           0.0055157,          0.00045461,             0.99997,                   1,               0.995,             0.89387,            0.013159,           0.0018505,          0.00039027,            0.005578,            0.005578,            0.005578
                 136,            0.017569,           0.0054818,          0.00047036,                   1,             0.99995,               0.995,             0.89994,            0.010435,           0.0019032,          0.00040104,            0.005545,            0.005545,            0.005545
                 137,            0.015551,           0.0053775,          0.00043692,                   1,             0.99997,               0.995,             0.92216,            0.011207,           0.0018152,          0.00037199,            0.005512,            0.005512,            0.005512
                 138,            0.016463,           0.0055203,          0.00042409,             0.99999,                   1,               0.995,             0.86706,            0.012543,           0.0018505,          0.00037052,            0.005479,            0.005479,            0.005479
                 139,            0.016198,           0.0053072,          0.00043778,             0.99996,                   1,               0.995,             0.90417,            0.010234,           0.0017712,          0.00036363,            0.005446,            0.005446,            0.005446
                 140,            0.015707,           0.0053016,          0.00041868,                   1,                   1,               0.995,             0.93755,           0.0097058,           0.0016944,            0.000343,            0.005413,            0.005413,            0.005413
                 141,            0.016838,           0.0055521,          0.00039981,                   1,             0.99993,               0.995,             0.90126,            0.010962,           0.0018081,           0.0003493,             0.00538,             0.00538,             0.00538
                 142,            0.015472,           0.0053243,           0.0004176,             0.99999,                   1,               0.995,             0.91977,            0.010098,           0.0016893,          0.00034982,            0.005347,            0.005347,            0.005347
                 143,            0.014917,           0.0055292,          0.00039244,                   1,             0.99993,               0.995,             0.94072,           0.0099583,           0.0017277,          0.00034754,            0.005314,            0.005314,            0.005314
                 144,            0.015329,           0.0054362,          0.00039809,             0.99999,                   1,               0.995,              0.9383,           0.0095124,           0.0016331,          0.00034054,            0.005281,            0.005281,            0.005281
                 145,            0.015341,           0.0048795,          0.00044507,             0.99995,                   1,               0.995,             0.92335,            0.010511,           0.0017644,          0.00033589,            0.005248,            0.005248,            0.005248
                 146,             0.01704,           0.0055856,           0.0004134,             0.99996,                   1,               0.995,             0.88023,             0.01186,           0.0019944,            0.000347,            0.005215,            0.005215,            0.005215
                 147,            0.017921,           0.0054205,          0.00042894,             0.99998,                   1,               0.995,             0.90597,            0.011919,           0.0019318,          0.00035825,            0.005182,            0.005182,            0.005182
                 148,            0.017367,           0.0058842,          0.00046406,             0.99995,                   1,               0.995,             0.91366,             0.01023,            0.001866,          0.00037574,            0.005149,            0.005149,            0.005149
                 149,            0.015629,            0.005276,          0.00042165,             0.99997,                   1,               0.995,             0.90011,            0.011145,           0.0018124,          0.00036206,            0.005116,            0.005116,            0.005116
                 150,            0.017613,           0.0052719,          0.00042604,             0.99993,                   1,               0.995,              0.9293,            0.010005,           0.0018091,          0.00037243,            0.005083,            0.005083,            0.005083
                 151,             0.01511,           0.0051206,          0.00042771,             0.99994,                   1,               0.995,             0.93254,             0.00762,           0.0016838,          0.00035515,             0.00505,             0.00505,             0.00505
                 152,             0.01635,           0.0051947,          0.00039866,             0.99997,                   1,               0.995,             0.92702,           0.0094874,           0.0017306,          0.00034292,            0.005017,            0.005017,            0.005017
                 153,            0.014837,            0.005288,          0.00040749,             0.99999,                   1,               0.995,             0.95119,           0.0090174,           0.0016219,          0.00033346,            0.004984,            0.004984,            0.004984
                 154,            0.015671,           0.0052987,          0.00038267,             0.99996,                   1,               0.995,             0.91341,            0.010516,            0.001563,          0.00032795,            0.004951,            0.004951,            0.004951
                 155,            0.014885,            0.005045,          0.00039773,             0.99994,                   1,               0.995,             0.91696,            0.010757,           0.0017036,          0.00033683,            0.004918,            0.004918,            0.004918
                 156,             0.01618,           0.0054075,          0.00041444,             0.99998,                   1,               0.995,              0.9023,            0.012257,           0.0018233,          0.00033872,            0.004885,            0.004885,            0.004885
                 157,            0.016958,           0.0056084,          0.00042207,             0.99993,                   1,               0.995,             0.91044,            0.010717,           0.0018247,          0.00035091,            0.004852,            0.004852,            0.004852
                 158,            0.014853,           0.0049903,          0.00040771,                   1,             0.99993,               0.995,             0.90191,            0.010615,            0.001717,          0.00033375,            0.004819,            0.004819,            0.004819
                 159,            0.015851,           0.0051949,          0.00038378,             0.99993,                   1,               0.995,              0.8837,             0.01112,           0.0017532,          0.00033412,            0.004786,            0.004786,            0.004786
                 160,            0.014224,           0.0051057,            0.000376,             0.99995,                   1,               0.995,             0.91176,            0.010947,            0.001804,          0.00033424,            0.004753,            0.004753,            0.004753
                 161,            0.013852,           0.0047774,          0.00036396,                   1,                   1,               0.995,             0.89858,            0.010981,           0.0017531,          0.00031701,             0.00472,             0.00472,             0.00472
                 162,            0.015012,           0.0049439,          0.00037196,             0.99999,                   1,               0.995,             0.92995,           0.0092175,            0.001817,          0.00030816,            0.004687,            0.004687,            0.004687
