               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.030874,            0.007596,           0.0014559,             0.98568,                   1,               0.995,             0.73398,            0.028197,           0.0027273,          0.00094326,            0.008053,            0.008053,            0.008053
                  61,            0.030566,           0.0076011,           0.0012565,             0.98876,                   1,               0.995,             0.78216,            0.023828,           0.0025713,           0.0008753,             0.00802,             0.00802,             0.00802
                  62,            0.027976,           0.0071515,           0.0010761,              0.9999,              0.9525,               0.995,             0.82547,            0.023871,           0.0025434,          0.00079772,            0.007987,            0.007987,            0.007987
                  63,            0.029245,           0.0076195,           0.0010934,             0.96758,             0.99985,               0.995,             0.81441,            0.022322,           0.0025405,          0.00086914,            0.007954,            0.007954,            0.007954
                  64,            0.028134,            0.007971,           0.0011359,              0.9778,                   1,               0.995,             0.80091,            0.020869,           0.0027141,          0.00084236,            0.007921,            0.007921,            0.007921
                  65,            0.026039,           0.0073325,           0.0010546,             0.98196,                   1,               0.995,             0.84164,            0.020041,            0.002487,          0.00072245,            0.007888,            0.007888,            0.007888
                  66,            0.027646,           0.0073464,           0.0013532,             0.98286,                   1,               0.995,             0.79746,            0.016031,           0.0025539,          0.00078013,            0.007855,            0.007855,            0.007855
                  67,            0.023656,           0.0069139,           0.0011133,             0.98622,             0.99986,               0.995,             0.80787,            0.017945,           0.0025557,          0.00070444,            0.007822,            0.007822,            0.007822
                  68,            0.025598,           0.0070453,          0.00098317,             0.97744,                   1,               0.995,             0.83573,            0.017844,           0.0024212,          0.00075608,            0.007789,            0.007789,            0.007789
                  69,            0.024837,           0.0069741,           0.0010703,             0.99649,                0.95,             0.99045,             0.79783,            0.020757,           0.0024579,          0.00080394,            0.007756,            0.007756,            0.007756
                  70,            0.025232,            0.006981,           0.0010671,             0.95994,             0.99989,               0.995,             0.84157,            0.015598,           0.0022991,          0.00084005,            0.007723,            0.007723,            0.007723
                  71,            0.023902,           0.0069143,           0.0011897,              0.9707,             0.99988,               0.995,             0.88585,             0.01577,           0.0022931,          0.00075991,             0.00769,             0.00769,             0.00769
                  72,            0.025225,           0.0066089,           0.0011676,             0.96895,             0.99992,               0.995,             0.81903,            0.017303,           0.0023217,          0.00084808,            0.007657,            0.007657,            0.007657
                  73,            0.024198,           0.0075288,          0.00095305,             0.96884,             0.99998,               0.995,             0.88313,            0.016268,           0.0022405,          0.00080686,            0.007624,            0.007624,            0.007624
                  74,            0.024721,           0.0069449,          0.00087687,             0.98384,                   1,               0.995,             0.84898,            0.016594,           0.0023433,          0.00083838,            0.007591,            0.007591,            0.007591
                  75,            0.024165,           0.0074058,          0.00091376,             0.98306,                   1,               0.995,             0.82488,            0.015329,           0.0024115,          0.00075251,            0.007558,            0.007558,            0.007558
                  76,            0.021969,           0.0070356,          0.00088109,             0.99037,                   1,               0.995,             0.86227,            0.017215,           0.0025215,          0.00079941,            0.007525,            0.007525,            0.007525
                  77,            0.023501,            0.006604,          0.00097302,             0.98587,                   1,               0.995,             0.85934,             0.01361,            0.002135,          0.00093727,            0.007492,            0.007492,            0.007492
                  78,            0.022823,           0.0066997,          0.00089477,             0.97047,             0.99993,               0.995,             0.85914,            0.014689,           0.0022475,          0.00076271,            0.007459,            0.007459,            0.007459
